slice,n_alerts,n_1d,hit_1d,mean_bps_1d,t_ev_1d,t_day_1d,n_3d,hit_3d,mean_bps_3d,t_ev_3d,t_day_3d,n_5d,hit_5d,mean_bps_5d,t_ev_5d,t_day_5d,H1_mean_3d,H1_n_3d,H2_mean_3d,H2_n_3d,up_mean_3d,up_n_3d,down_mean_3d,down_n_3d,H1_mean_5d,H1_n_5d,H2_mean_5d,H2_n_5d,up_mean_5d,up_n_5d,down_mean_5d,down_n_5d
bear voloi 1-3,34969,11891,0.5034900344798587,-6.989066849635609,-1.5338504803837802,-0.343080696600333,11489,0.5121420489163547,-2.504005510445604,-0.32622886505695503,-0.6718237837760586,11046,0.5077856237552055,-10.107051794645106,-1.0375993314486416,-1.1750825592861756,-8.00841700892537,5826,3.5482417248082356,5716,-30.091971170875166,6319,31.215212092698387,5170,-11.53043495770149,5826,-9.668090488339184,5273,-57.23189351195901,6274,51.850462231848475,4772
bull voloi >3,42291,13003,0.4934245943243867,8.948975572142114,2.048332614534741,-0.8421971913580105,12661,0.4954584945896849,14.304098158008719,1.941349096826339,-0.9048144859414128,12279,0.4980047235116866,24.339401227068382,2.6093288771585574,-0.6930085653090078,17.20130918962446,6372,12.20316653976558,6337,49.07400753226165,7155,-30.879102272935647,5506,25.06457671475302,6372,24.970992131813613,5955,65.50901425156249,7150,-33.05243599756269,5129
bear voloi >3,40098,12774,0.5070455612963832,-5.145786172173852,-1.1950330821895998,-1.126948446636935,12340,0.5081847649918962,-7.512370230395393,-1.0407659159082505,-0.36265811400779074,11923,0.5029774385641198,-15.087183750297958,-1.6461192813549634,-0.9766613814433162,-9.116869600079937,6322,-5.955020466569365,6062,-30.92111568917731,6681,20.123930955348,5659,-13.624531184792481,6322,-17.987348122068735,5645,-49.968643655028366,6658,29.023122051353504,5265
bull rule RepeatedHits,176421,29347,0.483218046137595,-1.1702217243145108,-0.43240967414974846,0.334001213008188,28419,0.47939758612196065,-6.211801144830104,-1.3362875173738389,0.18686958366847486,27405,0.48064221857325307,-2.519732237458073,-0.42231624401470835,-0.5986110379163815,-3.7668654051151824,14709,-9.597070388917714,13898,16.868961036932333,15788,-35.061383388964806,12631,0.6868528414545081,14709,-4.953716158113427,12884,30.500549088645318,15751,-47.14839631566766,11654
bear rule RepeatedHits,170526,29287,0.5146993546624782,0.8848133862895552,0.3352929417305236,0.14102283243476502,28302,0.5183025934562928,5.522169374628788,1.1941911294623009,0.49405734466326773,27265,0.5161195672107097,0.7339722182433452,0.12194210417157626,-0.2533454812459848,3.989192843598121,14916,7.521483018762303,13578,-11.31596428754408,15377,25.554663094027806,12925,1.4152963316244773,14916,-1.4940377504731515,12541,-25.770702046488694,15323,34.742607602474536,11942
bull rule AscendingFill,31994,11192,0.48668691922802,1.0873117054207928,0.22423531818439593,-0.5924134847966573,10893,0.486367391903057,8.747763053297225,1.0558757819350506,-0.12129677681321928,10533,0.49159783537453716,21.273363353197897,2.030775606479947,0.036616944201108385,11.683317595513136,5418,5.633122928707673,5516,45.171498608775295,6202,-39.40828212152157,4691,23.746826623204832,5418,19.929593316088923,5156,74.82497906576971,6189,-55.02289577320798,4344
bear rule AscendingFill,27991,10368,0.4957561728395062,-15.912185304538463,-3.2514233532772168,-1.4105726535815926,9989,0.502652918210031,-20.60221007804284,-2.4839164607106707,-1.296621261109063,9619,0.49849256679488513,-35.757143653036906,-3.3643975005149667,-1.366535071240289,-23.38936528210215,4942,-17.429070938406838,5093,-60.56107609766328,5621,30.819215264513577,4368,-30.022690091657694,4942,-41.96288811916934,4723,-93.19521112835048,5599,44.241796594296616,4020
bull rule DescendingFill,28790,10892,0.4870547190598605,1.1211535219676934,0.23103832637243024,-0.7449422765074393,10556,0.4843690791966654,-2.9377908458261746,-0.3564428711482302,-0.9358734570568662,10182,0.49066980946768807,11.08386752817522,1.059624518058509,-0.6621506419076789,7.235113825706508,5222,-12.280255197315935,5375,26.014583422055566,6033,-41.555892538979066,4523,21.08588656576526,5222,3.1074512602396314,5001,55.42222779836241,6028,-53.25692103915472,4154
bear rule DescendingFill,29548,10986,0.5122883670125614,-1.9234719121910695,-0.4124572249797004,-0.9882192594205648,10581,0.5133730271240904,-0.24266381747201904,-0.029521035385898984,-1.076285336325902,10155,0.5087149187592319,-11.34657551143156,-1.078593241306337,-1.3896937638528168,-18.167330036882134,5289,16.440029937771435,5339,-34.63857446883848,5939,43.763650994778175,4642,-18.97935194941388,5289,-5.909200384126871,4913,-62.40946949553151,5897,59.37157522230198,4258
bull rule FloorRule,2128,1396,0.4978510028653295,11.735605849252286,0.891556048046324,0.45905971136906537,1347,0.5077951002227171,15.738649473077208,0.627647469097659,0.14991227227937548,1315,0.5171102661596958,24.90134179025545,0.8532193109517895,0.3056144242312265,-35.923330887685964,802,91.17631233093317,546,14.825120265811712,691,16.700918805730335,656,-37.02261883105027,802,122.07012200726363,514,13.501338876397465,695,37.68037731466078,620
bear rule FloorRule,1891,1251,0.49480415667466027,5.502214662113189,0.36909567450328673,0.37979387632903905,1208,0.5165562913907285,-6.93841239883823,-0.27243375291162497,-0.08912257985014686,1186,0.5025295109612141,0.45467405455164656,0.014415359875983977,-0.26058892886702467,-10.68834191274425,783,-1.2658941141453555,427,-19.414026781632344,594,5.130830179956073,614,3.36241783954016,783,-5.345158266840211,405,-5.1864152242476536,598,6.19170022584753,588
bull cluster,177484,11321,0.4893560639519477,8.714944968451299,1.7926812546148896,0.20996253979801965,11028,0.4921109902067465,10.84920096738041,1.296961071640818,-0.2532900536196061,10673,0.49536212873606295,21.60683267900435,2.0697024561241824,-0.1423096906048591,16.296660246922844,5592,4.2069584540891665,5547,53.477403387851986,6288,-45.70061692711859,4740,32.77839443718566,5592,12.303458468783585,5192,78.80972775902737,6273,-59.94629478394664,4400
bear cluster,168247,11132,0.5028745957599713,-9.630457091530081,-1.9807959356693277,-0.8650525658206185,10792,0.5018532246108228,-9.849209198903845,-1.1798861471020337,-0.9963635791252221,10389,0.5009144287226874,-16.035244918798913,-1.5120834315590561,-1.4921205701592097,-17.805591741399404,5476,0.255289401708735,5423,-47.727870018810435,6073,38.897793801582004,4719,-28.969194404754575,5476,-3.171808752705878,5020,-71.32734931633702,6033,60.54355807255726,4356
bull no-cluster,61849,28718,0.4815098544466885,-3.2037007926230823,-1.2218615087610873,-0.3149635255061014,27804,0.47453603798014676,-10.128520025064388,-2.2416506329970938,-0.47376853071950237,26812,0.47661494853050873,-6.676773052160534,-1.139801471366076,-0.8944768412217362,-9.508567858368593,14441,-10.373234861079583,13461,9.692084124776835,15393,-34.71143515507051,12411,-4.776057007343504,14441,-7.60486786506351,12469,22.25717930003317,15368,-45.53180448771741,11444
bear no-cluster,61709,28741,0.5161963745172402,2.1510437870357575,0.8361935704578957,-0.38016551095459267,27726,0.5222895477169444,8.913626849644977,1.975597980084988,0.27510736685098813,26732,0.5197516085590304,3.6320783139823654,0.6168684671291688,0.30995999301621924,5.054496407715823,14643,12.620860003989794,13189,-4.416034387070107,14998,24.62059253382577,12728,6.798831391581386,14643,-1.1405660677306753,12195,-20.65008174288802,14962,34.49951066495048,11770
bull mcap <2B,13528,3092,0.4666882276843467,-0.2161788276152782,-0.016325494520131913,-0.8148502942535655,2968,0.45485175202156336,-53.31460265066922,-2.364111896865809,-0.9130994427496432,2843,0.4664087231797397,-55.360002674388916,-1.9383268193076217,0.13038100976192277,-44.54298021529266,1671,-64.61559038352519,1297,46.987116444359884,1430,-146.5730280771267,1538,-58.1973222595706,1671,-51.31464343647203,1172,135.65538743431838,1441,-251.68894500437978,1402
bear mcap <2B,10325,2917,0.5245114844017826,-3.5865153410638784,-0.2715549256216287,-0.028410290405994486,2791,0.5381583661769975,47.805503900605885,2.031802208022725,0.23963723799993855,2667,0.5178102737157855,41.67990805893002,1.3575972479211458,-0.4864791094363173,23.765336849293426,1586,79.4467528162752,1205,-10.626118574008606,1319,100.1637308326823,1472,50.848922474185414,1586,28.227496530164935,1081,-105.21825324611711,1317,184.98722542096488,1350
bull mcap 2-10B,39810,7949,0.48672789030066677,-5.0732492331584,-0.9175974938179056,-1.5217374584637176,7680,0.48203125,-15.55860849168363,-1.643988595368469,-0.9711964133155595,7370,0.4971506105834464,4.566094688114204,0.37212167854218614,-0.9733088809119624,13.840057421976109,4670,-61.170492151747084,3010,30.636210556417723,3750,-59.63763430094065,3930,31.200940334356147,4670,-41.502323522237646,2700,74.53735271821313,3738,-67.4472760488103,3632
bear mcap 2-10B,36944,7890,0.5076045627376425,-0.0660416392545873,-0.012054535951040493,0.132252996234469,7596,0.5151395471300685,10.695617784079218,1.123439154912289,0.09398717923959717,7288,0.5009604829857299,-3.7035472319754565,-0.3010747742354947,0.0847301124194253,-20.357966583503323,4678,60.47925989221872,2918,-28.693891298986852,3621,46.577230963898636,3975,-29.67114152428765,4678,42.83913709731056,2610,-70.43431813136397,3606,61.64983676128771,3682
bull mcap 10-100B,85376,12131,0.4833896628472508,-5.313824556505071,-1.5762694391339753,0.32345981654600836,11673,0.4764841942945258,-18.65955960950962,-3.137621690984673,0.10148654597900511,11209,0.48193416004995987,-20.781994072850107,-2.7655318294738462,-0.019370126399113802,-12.537350612172371,6965,-27.71673583432993,4708,-25.365338809499264,5536,-12.610481289297368,6137,-15.967287034003677,6965,-28.683604470014448,4244,-28.226205149584626,5521,-13.556345452130829,5688
bear mcap 10-100B,85069,12370,0.5141471301535974,4.701075047775876,1.4119646347065125,-1.1014266454001764,11863,0.5212846666104696,18.18329362892523,3.0779165707727616,-0.5100931399929229,11369,0.5206262644032017,18.125277239923918,2.418318413549313,-0.9608285123266043,10.397957880386707,7191,30.16624512030803,4672,26.061452101993734,5476,11.42882426951969,6387,15.99787345329194,7191,21.786876241759817,4178,23.932135825833587,5457,12.765326748836447,5912
bull mcap >100B,62458,5171,0.48965383871591567,2.4041513647048904,0.6280888694439442,1.0865498886208724,4990,0.48897795591182364,3.2617599659845107,0.47946092152788705,1.5651284729855208,4773,0.4866959983239053,8.148934908092754,0.9238492041710062,1.2434871419769176,-9.056316437332107,3045,22.546357728503327,1945,-4.477096081027529,2420,10.548931807918027,2570,-11.663517437469906,3045,43.06150284341585,1728,-1.2894351540512305,2407,17.750860833528332,2366
bear mcap >100B,61407,5107,0.503818288623458,-3.678381040536451,-0.9438338017621871,0.05159498890345894,4908,0.5099837000814996,-5.595545144157379,-0.8053940935928127,-1.7634072608272437,4693,0.5035158747070104,-19.47071509289802,-2.178235170383353,-2.112902745429382,5.44279278870267,3020,-23.252208574897494,1888,-0.34933594362528636,2314,-10.27547116190266,2594,1.292220752623303,3020,-56.950730785351325,1673,-13.508107249910411,2295,-25.177214258726444,2398
bull iv IV<30,10936,3228,0.48977695167286245,10.10312187552061,1.8248605669965214,-0.48079993965715223,3138,0.47068196303377946,-2.1623638331473525,-0.2458994435534181,-0.5567583637614293,3040,0.4605263157894737,-34.48241738100956,-3.00172587028396,-2.0020261452236516,-8.770348124709956,1805,6.785431850476428,1333,-25.423332859748385,1668,24.231715307240748,1470,-43.500671456413976,1805,-21.30189219388005,1235,-45.1924798833608,1659,-21.616382847048172,1381
bear iv IV<30,10483,3108,0.5186615186615187,-12.741064685048956,-2.1562124006593506,0.21092528971122956,3022,0.5410324288550629,2.253007026419885,0.2408357271274202,0.28114566709075867,2939,0.5392990813201769,32.59663491512434,2.740545351919035,1.3904556478149923,0.5537026215931196,1762,4.629335884598258,1260,27.37338742693209,1621,-26.8120441007966,1401,23.340077179391344,1762,46.453945646102724,1177,40.11993965994408,1619,23.369187656137118,1320
bull iv IV30-60,65101,13429,0.48782485665351105,-1.6255210988018636,-0.6783218831609656,-0.5985053164473276,13012,0.48278512142637564,-11.339331963883817,-2.703194451038689,-1.3858802709796818,12535,0.48767451136816914,-20.41895733383502,-3.7951798433785884,-0.8873594139927251,-20.26930343528588,8093,3.3527312843489274,4919,-41.37177495633931,6135,15.452734018188963,6877,-31.804055168447544,8093,0.323860490460139,4442,-52.05813223407793,6114,9.70748953426732,6421
bear iv IV30-60,64656,13619,0.5042954695645789,0.18121441838409832,0.07641643408046875,0.3739117689136887,13153,0.5115182848019463,10.718537075197741,2.5382913990147977,1.2661133475947985,12646,0.5122568401075439,18.67295454327721,3.415088818950341,1.7901916122890398,18.05691421845549,8269,-1.705918411616006,4884,42.68289361142909,6005,-16.134563232590345,7148,30.973703279309966,8269,-4.56554015589,4377,48.33382271893892,5974,-7.884903142784402,6672
