symbol,direction,entry_date,entry_time_et,expiration,dte,short,long,width,opt,short_delta,credit,raw_mid,slip_leg,qty,spot,ivr,iv_used,regime,leadership,exit_date,exit_time_et,exit_cost,exit_reason,pnl
IWM,bearish,2025-04-04,12:45,2025-04-11,7,185.0,187.5,2.5,C,0.2922,1.32,1.42,0.05,4,178.6601,100.0,0.4259,DOWN,DEFENSIVE_LED,2025-04-07,08:40,0.57,tp,294.8
GOOGL,bearish,2025-04-04,14:35,2025-04-11,7,155.0,157.5,2.5,C,0.2458,0.67,0.77,0.05,2,148.58,100.0,0.4175,DOWN,DEFENSIVE_LED,2025-04-07,08:30,0.4,tp,51.4
QQQ,bearish,2025-04-14,13:35,2025-04-25,11,475,480,5,C,0.2733,1.33,1.43,0.05,1,459.13,60.0,0.2989,DOWN,DEFENSIVE_LED,2025-04-16,08:30,0.56,tp,75.7
GOOGL,bearish,2025-04-16,09:50,2025-04-25,9,160.0,162.5,2.5,C,0.2819,0.74,0.84,0.05,2,154.66,75.0,0.346,DOWN,DEFENSIVE_LED,2025-04-21,08:30,0.44,tp,57.4
META,bearish,2025-04-21,10:30,2025-05-02,11,510,515,5,C,0.2939,1.3,1.45,0.075,1,484.245,73.5,0.4968,DOWN,DEFENSIVE_LED,2025-04-22,08:30,0.17,tp,111.7
MSFT,bearish,2025-04-21,09:50,2025-05-02,11,375,380,5,C,0.2544,1.375,1.475,0.05,1,360.4547,79.4,0.3197,DOWN,DEFENSIVE_LED,2025-04-30,08:30,3.325,time_exit_2dte,-196.3
GOOGL,bearish,2025-04-21,11:05,2025-05-02,11,152.5,155.0,2.5,C,0.2503,0.74,0.84,0.05,2,146.23,47.1,0.3331,DOWN,DEFENSIVE_LED,2025-04-30,08:30,2.06,time_exit_2dte,-266.6
AMZN,bearish,2025-04-22,09:50,2025-05-02,10,180.0,182.5,2.5,C,0.2709,0.72,0.82,0.05,2,172.3452,74.3,0.3967,DOWN,DEFENSIVE_LED,2025-04-30,08:30,1.48,time_exit_2dte,-154.6
AAPL,bullish,2025-05-07,14:40,2025-05-16,9,190.0,187.5,2.5,P,-0.2961,0.76,0.86,0.05,2,195.0093,56.5,0.3395,UP,CYCLICAL_LED,2025-05-08,10:45,0.43,tp,63.4
GOOGL,bullish,2025-07-15,09:30,2025-07-25,10,177.5,175.0,2.5,P,-0.2764,0.77,0.87,0.05,2,183.115,81.7,0.3463,UP,CYCLICAL_LED,2025-07-21,11:50,0.48,tp,55.4
GOOGL,bullish,2025-07-22,09:35,2025-08-01,10,182.5,180.0,2.5,P,-0.2723,0.68,0.78,0.05,2,189.0442,98.3,0.3837,UP,CYCLICAL_LED,2025-07-24,08:30,0.23,tp,87.4
AMZN,bullish,2025-07-22,12:25,2025-08-01,10,220,215,5,P,-0.267,1.32,1.42,0.05,1,227.4389,86.7,0.3515,UP,CYCLICAL_LED,2025-07-28,09:00,0.73,tp,57.7
TSLA,bullish,2025-07-22,09:35,2025-08-01,10,315,310,5,P,-0.2986,1.6,1.7,0.05,1,330.635,68.3,0.6302,UP,CYCLICAL_LED,2025-07-30,08:30,1.14,time_exit_2dte,44.7
META,bullish,2025-07-25,11:10,2025-08-01,7,690,680,10,P,-0.2834,2.7,2.85,0.075,1,717.4134,96.7,0.537,UP,CYCLICAL_LED,2025-07-30,08:30,4.44,time_exit_2dte,-175.3
AMZN,bullish,2025-07-29,13:20,2025-08-08,10,225,220,5,P,-0.2897,1.51,1.61,0.05,1,231.365,80.0,0.3342,UP,CYCLICAL_LED,2025-08-06,08:30,4.87,time_exit_2dte,-337.3
NVDA,bullish,2025-08-19,13:35,2025-08-29,10,170.0,167.5,2.5,P,-0.2774,0.71,0.81,0.05,2,176.495,61.7,0.4211,UP,DEFENSIVE_LED,2025-08-27,08:30,0.58,time_exit_2dte,23.4
SPY,bullish,2025-08-22,10:10,2025-08-29,7,650,640,10,P,-0.2916,3.805,3.905,0.05,1,656.92813,38.3,0.1539,CHOP,DEFENSIVE_LED,2025-08-27,08:30,4.58,time_exit_2dte,-78.8
QQQ,bullish,2025-08-26,10:40,2025-09-05,10,590,580,10,P,-0.2074,8.315,8.415,0.05,2,605.0247825,78.3,0.1995,UP,DEFENSIVE_LED,2025-09-03,08:30,9.835,time_exit_2dte,-306.6
SPY,bullish,2025-09-08,10:20,2025-09-19,11,650,640,10,P,-0.1796,3.005,3.105,0.05,1,667.29176,90.0,0.1764,UP,CYCLICAL_LED,2025-09-11,09:35,1.585,tp,140.7
TSLA,bullish,2025-09-22,10:45,2025-10-03,11,420,415,5,P,-0.2968,1.38,1.48,0.05,1,441.0095,95.0,0.6001,UP,CYCLICAL_LED,2025-10-01,08:30,0.88,time_exit_2dte,48.7
QQQ,bullish,2025-10-02,10:45,2025-10-10,8,620,610,10,P,-0.2221,7.765,7.865,0.05,2,631.9022649999999,38.3,0.1797,UP,CYCLICAL_LED,2025-10-08,08:30,9.035,time_exit_2dte,-256.6
SPY,bullish,2025-10-09,10:50,2025-10-17,8,690,680,10,P,-0.2748,9.635,9.735,0.05,13,698.8752000000001,75.0,0.1585,UP,DEFENSIVE_LED,2025-10-15,08:30,10.41,time_exit_2dte,-1024.4
TSLA,bullish,2025-10-13,12:40,2025-10-24,11,405,400,5,P,-0.2626,1.42,1.52,0.05,1,429.72,83.3,0.5983,CHOP,DEFENSIVE_LED,2025-10-20,08:45,0.77,tp,63.7
GOOGL,bullish,2025-10-20,10:00,2025-10-31,11,245,240,5,P,-0.2492,1.26,1.36,0.05,1,255.9865,100.0,0.4058,CHOP,DEFENSIVE_LED,2025-10-27,08:45,0.7,tp,54.7
TSLA,bullish,2025-10-20,10:50,2025-10-31,11,420,415,5,P,-0.2729,1.27,1.37,0.05,1,443.814,68.3,0.5888,CHOP,DEFENSIVE_LED,2025-10-27,08:35,0.72,tp,53.7
AMZN,bullish,2025-10-21,10:05,2025-10-31,10,215,210,5,P,-0.2937,1.63,1.73,0.05,1,221.26,88.3,0.3523,UP,DEFENSIVE_LED,2025-10-28,12:30,0.9,tp,71.7
AMZN,bullish,2025-10-28,14:50,2025-11-07,10,220,215,5,P,-0.2333,1.5,1.6,0.05,1,229.18,95.0,0.3645,UP,DEFENSIVE_LED,2025-11-03,09:30,0.14,tp,134.7
META,bullish,2025-10-27,09:30,2025-11-07,11,720,710,10,P,-0.244,2.675,2.825,0.075,1,753.145,91.7,0.4057,UP,DEFENSIVE_LED,2025-11-05,09:30,9.725,time_exit_2dte,-706.3
MSFT,bullish,2025-10-27,10:45,2025-11-07,11,520,510,10,P,-0.2963,3.075,3.175,0.05,1,532.9044,96.7,0.2923,UP,DEFENSIVE_LED,2025-11-05,09:30,6.075,time_exit_2dte,-301.3
TSLA,bullish,2025-11-07,09:30,2025-11-14,7,415,410,5,P,-0.2573,1.75,1.85,0.05,1,437.805,95.0,0.6468,CHOP,CYCLICAL_LED,2025-11-10,09:30,0.5,tp,123.7
QQQ,bullish,2025-11-14,09:30,2025-11-21,7,590,580,10,P,-0.2996,2.67,2.77,0.05,1,599.5551,93.3,0.2402,CHOP,CYCLICAL_LED,2025-11-14,10:50,1.4,tp,125.7
NVDA,bullish,2025-11-14,09:30,2025-11-21,7,175.0,172.5,2.5,P,-0.2401,0.75,0.85,0.05,2,182.88,91.7,0.4822,CHOP,CYCLICAL_LED,2025-11-19,09:30,0.81,time_exit_2dte,-14.6
META,bullish,2026-01-20,11:20,2026-01-30,10,590,580,10,P,-0.268,3.1,3.25,0.075,1,610.6105,45.0,0.365,UP,CYCLICAL_LED,2026-01-22,10:25,1.68,tp,140.7
META,bullish,2026-01-22,11:15,2026-01-30,8,610,600,10,P,-0.2135,2.59,2.74,0.075,1,635.9099,66.7,0.3752,CHOP,DEFENSIVE_LED,2026-01-23,14:05,1.43,tp,114.7
