Date,Symbol,Type,Premium,Spot Price,Strike Price,Price,Bid,Ask,Contracts,Open Interest,Order Type,Expiring,Golden Sweep,Highly Unusual,Unusual,Aggressive,Sales Flow,Bid/Ask,Delta,IV,ExpiryDate,BidAskSpread,ExpiresInDays
2025-03-04 21:48:53,SPX,PUT,78705.0,5819.5372,5225,0.45,0.4,0.55,1749,1955,Sweep,,FALSE,FALSE,FALSE,TRUE,TRUE,TB,-0.0059,0.4761,2025-03-07,0.15,2
2025-03-04 21:48:53,SPX,PUT,113685.0,5819.5372,5325,0.65,0.55,0.7,1749,2247,Sweep,,FALSE,FALSE,TRUE,TRUE,FALSE,TA,-0.0092,0.4185,2025-03-07,0.15,2
2025-03-04 21:46:03,SPX,PUT,624450.0,5859.5198,5500,83.26,82.7,83.9,75,11648,Block,,FALSE,FALSE,FALSE,FALSE,TRUE,TB,-0.2422,0.2157,2025-05-16,1.2,72
2025-03-04 21:34:06,SPX,PUT,137360.0,5818.352,5770,17.17,16.9,17.4,80,343,Block,,FALSE,FALSE,FALSE,FALSE,FALSE,TA,-0.2962,0.304,2025-03-05,0.5,0
2025-03-04 21:30:19,SPX,CALL,249900.0,5833.8214,6010,33.32,32.9,34,75,19,Block,,FALSE,FALSE,FALSE,FALSE,TRUE,TB,0.2431,0.1636,2025-03-27,1.1,22
2025-03-04 21:28:54,SPX,PUT,83840.0,5833.1075,5625,6.4,6.3,6.6,131,7103,Block,,FALSE,FALSE,FALSE,FALSE,TRUE,TB,-0.089,0.2978,2025-03-07,0.3,2
2025-03-04 21:28:54,SPX,PUT,81875.0,5830.1399,5675,6.25,6,6.4,131,1997,Block,,FALSE,FALSE,FALSE,FALSE,FALSE,TA,-0.1049,0.2928,2025-03-06,0.4,1
2025-03-04 21:28:03,SPX,CALL,112680.0,5851.805,6250,6.26,6.1,6.5,180,1666,Block,,FALSE,FALSE,FALSE,FALSE,TRUE,TB,0.0617,0.1303,2025-04-11,0.4,37
2025-03-04 21:28:03,SPX,CALL,53280.0,5851.805,6320,2.96,2.8,3.1,180,926,Block,,FALSE,FALSE,FALSE,FALSE,FALSE,TA,0.033,0.128,2025-04-11,0.3,37
2025-03-04 21:28:01,SPX,CALL,228372.0,5851.5029,6250,6.2397,6,6.5,366,1666,Sweep,,FALSE,FALSE,FALSE,FALSE,TRUE,TB,0.0614,0.1302,2025-04-11,0.5,37
2025-03-04 21:28:01,SPX,PUT,682000.0,5838.1366,5775,110,78.3,79.5,62,8476,Block,,FALSE,FALSE,FALSE,FALSE,FALSE,AA,-0.4182,0.2808,2025-03-21,1.2,16
2025-03-04 21:28:01,SPX,PUT,1848600.0,5857.5346,5600,92.43,69.7,71.5,200,16418,Block,,FALSE,FALSE,FALSE,FALSE,FALSE,AA,-0.2868,0.2463,2025-04-17,1.8,43
2025-03-04 21:28:01,SPX,CALL,107592.0,5851.5029,6320,2.9397,2.75,3.1,366,926,Sweep,,FALSE,FALSE,FALSE,FALSE,FALSE,TA,0.0327,0.1278,2025-04-11,0.35,37
2025-03-04 21:28:00,SPX,CALL,663400.0,5836.3292,5775,107,139.2,140.3,62,4136,Block,,FALSE,FALSE,FALSE,FALSE,TRUE,BB,0.6338,0.148,2025-03-21,1.1,16
2025-03-04 21:27:58,SPX,CALL,108054.0,5849.9924,6250,6.21,6,6.5,174,1666,Sweep,,FALSE,FALSE,FALSE,FALSE,TRUE,TB,0.0612,0.1306,2025-04-11,0.5,37
2025-03-04 21:27:58,SPX,CALL,50634.0,5849.9924,6320,2.91,2.7,3.1,174,926,Sweep,,FALSE,FALSE,FALSE,FALSE,FALSE,TA,0.0325,0.1281,2025-04-11,0.4,37
2025-03-04 21:27:54,SPX,PUT,2772900.0,5855.3166,5600,92.43,71.2,72.2,300,16418,Sweep,,FALSE,FALSE,FALSE,FALSE,FALSE,AA,-0.2877,0.2454,2025-04-17,1,43
2025-03-04 21:27:54,SPX,PUT,1023000.0,5835.8271,5775,110,79.3,80.4,93,8476,Sweep,,FALSE,FALSE,FALSE,FALSE,FALSE,AA,-0.4204,0.2788,2025-03-21,1.1,16
2025-03-04 21:27:53,SPX,CALL,995100.0,5836.279,5775,107,139,140.7,93,4136,Sweep,,FALSE,FALSE,FALSE,FALSE,TRUE,BB,0.6337,0.1481,2025-03-21,1.7,16
2025-03-04 21:27:53,SPX,PUT,924300.0,5855.4174,5600,92.43,71.3,72.2,100,16418,Sweep,,FALSE,FALSE,FALSE,FALSE,FALSE,AA,-0.2877,0.2454,2025-04-17,0.9,43
2025-03-04 21:27:03,SPX,PUT,76820.0,5825.4475,5575,1.67,1.5,1.7,460,4986,Sweep,,FALSE,FALSE,FALSE,FALSE,FALSE,TA,-0.0317,0.322,2025-03-06,0.2,1
2025-03-04 21:25:08,SPX,CALL,120840.0,5827.2347,5860,20.14,19.8,20.5,60,433,Sweep,,FALSE,FALSE,FALSE,FALSE,TRUE,TB,0.3542,0.2814,2025-03-05,0.7,0
2025-03-04 21:25:02,SPX,CALL,130320.0,5826.6839,5870,16.29,16.1,16.5,80,139,Sweep,,FALSE,FALSE,FALSE,FALSE,TRUE,TB,0.3072,0.2776,2025-03-05,0.4,0
2025-03-04 21:24:59,SPX,CALL,158480.0,5826.8341,5860,19.81,19.6,20,80,433,Sweep,,FALSE,FALSE,FALSE,FALSE,FALSE,TA,0.3516,0.2797,2025-03-05,0.4,0
2025-03-04 21:24:53,SPX,CALL,57437.0,5826.3334,5915,5.2215,5.1,5.5,110,165,Sweep,,FALSE,FALSE,FALSE,FALSE,TRUE,TB,0.1354,0.2611,2025-03-05,0.4,0
2025-03-04 21:24:53,SPX,CALL,159737.0,5826.3334,5875,14.5215,14.3,14.8,110,89,Sweep,,FALSE,FALSE,FALSE,FALSE,TRUE,TB,0.2845,0.2761,2025-03-05,0.5,0
2025-03-04 21:24:50,SPX,CALL,142380.0,5826.8842,5850,23.73,23.5,24,60,366,Sweep,,FALSE,FALSE,FALSE,FALSE,TRUE,TB,0.3968,0.2818,2025-03-05,0.5,0
2025-03-04 21:22:47,SPX,CALL,78100.0,5820.278,5900,7.1,6.9,7.1,110,877,Sweep,,FALSE,FALSE,FALSE,FALSE,FALSE,A,0.1676,0.2682,2025-03-05,0.2,0
2025-03-04 21:22:18,SPX,CALL,66811.0,5816.7231,5925,2.8923,2.9,3.1,231,713,Sweep,,FALSE,FALSE,FALSE,FALSE,TRUE,BB,0.0844,0.2553,2025-03-05,0.2,0
2025-03-04 21:21:31,SPX,CALL,73650.0,5816.6727,5925,2.946,2.9,3.2,250,713,Sweep,,FALSE,FALSE,FALSE,FALSE,TRUE,TB,0.0852,0.2564,2025-03-05,0.3,0
2025-03-04 21:21:08,SPX,CALL,215600.0,5814.4749,5850,19.6,19.1,19.6,110,366,Sweep,,FALSE,FALSE,FALSE,FALSE,FALSE,A,0.3443,0.2853,2025-03-05,0.5,0
2025-03-04 21:20:10,SPX,PUT,113000.0,5817.8323,5650,11.3,11.3,11.5,100,8154,Sweep,,FALSE,FALSE,FALSE,FALSE,TRUE,B,-0.1407,0.3,2025-03-07,0.2,2
2025-03-04 21:19:06,SPX,CALL,159600.0,5811.3729,5900,5.6,5,5.6,285,877,Sweep,,FALSE,FALSE,FALSE,FALSE,FALSE,A,0.1398,0.2659,2025-03-05,0.6,0
2025-03-04 21:18:19,SPX,CALL,86100.0,5801.4982,5900,4.1,4.1,4.2,210,877,Sweep,,FALSE,FALSE,FALSE,FALSE,TRUE,B,0.1103,0.2612,2025-03-05,0.1,0
2025-03-04 21:18:12,SPX,CALL,68440.0,5802.598,5900,4.0982,3.7,4,167,877,Sweep,,FALSE,FALSE,FALSE,FALSE,FALSE,AA,0.1094,0.2573,2025-03-05,0.3,0
2025-03-04 21:17:55,SPX,PUT,108150.0,5804.0753,5625,14.42,14.3,14.9,75,731,Sweep,,FALSE,FALSE,FALSE,FALSE,TRUE,TB,-0.1534,0.2435,2025-03-10,0.6,5
2025-03-04 21:17:49,SPX,PUT,924300.0,5831.9716,5600,92.43,77.7,78.8,100,16418,Block,,FALSE,FALSE,FALSE,FALSE,FALSE,AA,-0.2976,0.2355,2025-04-17,1.1,43
2025-03-04 21:14:52,QQQ,CALL,252986.0,497.66,501,2.1604,2.17,2.2,1171,605,Sweep,,FALSE,FALSE,FALSE,FALSE,TRUE,BB,0.3631,0.3434,2025-03-05,0.03,0
2025-03-04 21:14:48,QQQ,PUT,135900.0,497.665,520,27.18,26.79,27.45,50,11726,Block,,FALSE,FALSE,FALSE,FALSE,FALSE,TA,-0.7119,0.2084,2025-04-17,0.66,43
2025-03-04 21:14:41,SPX,PUT,106765.0,5802.8032,5605,1.0984,0.95,1.1,972,505,Sweep,,FALSE,FALSE,TRUE,FALSE,FALSE,TA,-0.0271,0.346,2025-03-05,0.15,0
2025-03-04 21:14:35,SPY,PUT,105000.0,579.19,575,10.5,10.4,10.5,100,26950,Sweep,,FALSE,FALSE,FALSE,FALSE,FALSE,A,-0.4363,0.2021,2025-03-31,0.1,26
2025-03-04 21:14:27,SPY,PUT,311000.0,579.195,549,6.22,6.15,6.22,500,1693,Sweep,,FALSE,FALSE,FALSE,FALSE,FALSE,A,-0.2285,0.2287,2025-04-17,0.07,43
2025-03-04 21:14:23,QQQ,CALL,214219.0,497.915,505,8.5688,8.48,8.58,250,6744,Sweep,,FALSE,FALSE,FALSE,FALSE,FALSE,TA,0.4301,0.2611,2025-03-21,0.1,16
2025-03-04 21:14:17,QQQ,CALL,280500.0,497.9171,500,5.61,5.55,5.64,500,3816,Block,,FALSE,FALSE,FALSE,FALSE,FALSE,TA,0.4642,0.356,2025-03-07,0.09,2
2025-03-04 21:14:15,SPY,CALL,197250.0,579.1771,610,26.3,26.3,26.38,75,4003,Sweep,,FALSE,FALSE,FALSE,FALSE,TRUE,B,0.4654,0.158,2025-12-19,0.08,289
2025-03-04 21:14:11,SPY,CALL,263000.0,579.17,610,26.3,26.3,26.34,100,4003,Sweep,,FALSE,FALSE,FALSE,FALSE,TRUE,B,0.4654,0.158,2025-12-19,0.04,289
2025-03-04 21:14:09,SPY,CALL,197250.0,579.2891,610,26.3,26.3,26.41,75,4003,Sweep,,FALSE,FALSE,FALSE,FALSE,TRUE,B,0.4658,0.1577,2025-12-19,0.11,289
2025-03-04 21:13:22,QQQ,CALL,195800.0,497.915,497,1,0.91,1,1958,2650,Sweep,,FALSE,FALSE,FALSE,FALSE,FALSE,A,0.8324,0.3399,2025-03-04,0.09,0
