strategy,symbol,structure,entry_date,entry_time_et,expiration,dte,legs,deltas,spot,sigma,credit,debit,qty,slip_leg,n_aligned_bars,exit_date,exit_time_et,exit_cost,exit_reason,pnl
p4_spy_45dte_putspread_noivr,SPY,bull_put,2025-03-10,10:00,2025-04-17,38,SP550 / LP535,put_short=-0.306,567.36,0.2368,3.48,,1,0.05,576,2025-03-24,09:35,1.77,tp,169.7
p4_spy_45dte_putspread_noivr,SPY,bull_put,2025-03-17,10:05,2025-05-02,46,SP545 / LP530,put_short=-0.286,565.65,0.2301,2.8,,1,0.05,175,2025-03-25,09:55,1.43,tp,135.7
p4_spy_45dte_putspread_noivr,SPY,bull_put,2025-03-24,10:00,2025-05-16,53,SP555 / LP540,put_short=-0.304,572.74,0.211,2.53,,1,0.05,508,2025-04-03,15:15,7.71,stop,-519.3
p4_spy_45dte_putspread_noivr,SPY,bull_put,2025-03-31,10:00,2025-05-16,46,SP530 / LP515,put_short=-0.281,549.74,0.2203,2.69,,1,0.05,549,2025-04-04,14:45,9.24,stop,-656.3
p4_spy_45dte_putspread_noivr,SPY,bull_put,2025-04-07,10:00,2025-05-16,39,SP470 / LP455,put_short=-0.299,495.69,0.3826,3.03,,1,0.05,315,2025-04-07,10:30,1.38,tp,163.7
p4_spy_45dte_putspread_noivr,SPY,bull_put,2025-04-14,10:00,2025-05-30,46,SP510 / LP495,put_short=-0.293,540.47,0.3741,2.16,,1,0.05,399,2025-05-01,09:30,1.11,tp,103.7
p4_spy_45dte_putspread_noivr,SPY,bull_put,2025-04-28,10:00,2025-06-20,53,SP530 / LP515,put_short=-0.305,550.29,0.2504,3.29,,1,0.05,572,2025-05-08,12:10,1.72,tp,155.7
p4_spy_45dte_putspread_noivr,SPY,bull_put,2025-05-05,10:00,2025-06-20,46,SP545 / LP530,put_short=-0.302,562.99,0.2245,3.11,,1,0.05,628,2025-05-13,09:30,1.28,tp,181.7
p4_spy_45dte_putspread_noivr,SPY,bull_put,2025-05-12,10:00,2025-06-20,39,SP560 / LP545,put_short=-0.278,578.79,0.2085,2.35,,1,0.05,545,2025-05-16,13:00,1.27,tp,106.7
p4_spy_45dte_putspread_noivr,SPY,bull_put,2025-06-02,10:00,2025-07-18,46,SP570 / LP555,put_short=-0.284,586.85,0.1816,2.76,,1,0.05,505,2025-06-10,09:35,1.46,tp,128.7
p4_spy_45dte_putspread_noivr,SPY,bull_put,2025-06-09,10:00,2025-07-18,39,SP590 / LP575,put_short=-0.328,598.89,0.1431,3.05,,1,0.05,626,2025-06-26,09:30,1.44,tp,159.7
p4_spy_45dte_putspread_noivr,SPY,bull_put,2025-06-23,10:00,2025-08-15,53,SP580 / LP565,put_short=-0.292,596.65,0.1777,2.5,,1,0.05,450,2025-06-27,12:25,1.34,tp,114.7
p4_spy_45dte_putspread_noivr,SPY,bull_put,2025-06-16,10:00,2025-08-01,46,SP585 / LP570,put_short=-0.281,603.05,0.1855,2.34,,1,0.05,73,2025-06-27,12:35,1.26,tp,106.7
p4_spy_45dte_putspread_noivr,SPY,bull_put,2025-06-30,10:00,2025-08-15,46,SP605 / LP590,put_short=-0.315,616.43,0.1511,2.66,,1,0.05,712,2025-07-21,09:30,1.36,tp,128.7
