symbol,direction,entry_date,entry_time_et,expiration,dte,short,long,width,opt,short_delta,credit,raw_mid,slip_leg,qty,spot,ivr,iv_used,regime,leadership,exit_date,exit_time_et,exit_cost,exit_reason,pnl
IWM,bearish,2025-04-04,12:45,2025-04-11,7,185.0,187.5,2.5,C,0.2922,1.32,1.42,0.05,4,178.6601,100.0,0.4259,DOWN,DEFENSIVE_LED,2025-04-07,08:40,0.57,tp,294.8
GOOGL,bearish,2025-04-04,14:35,2025-04-11,7,155.0,157.5,2.5,C,0.2458,0.67,0.77,0.05,2,148.58,100.0,0.4175,DOWN,DEFENSIVE_LED,2025-04-07,08:30,0.4,tp,51.4
QQQ,bearish,2025-04-14,13:35,2025-04-25,11,475,480,5,C,0.2733,1.33,1.43,0.05,1,459.13,60.0,0.2989,DOWN,DEFENSIVE_LED,2025-04-16,08:30,0.56,tp,75.7
GOOGL,bearish,2025-04-16,09:50,2025-04-25,9,160.0,162.5,2.5,C,0.2819,0.74,0.84,0.05,2,154.66,75.0,0.346,DOWN,DEFENSIVE_LED,2025-04-21,08:30,0.44,tp,57.4
META,bearish,2025-04-21,10:30,2025-05-02,11,510,515,5,C,0.2939,1.3,1.45,0.075,1,484.245,73.5,0.4968,DOWN,DEFENSIVE_LED,2025-04-22,08:30,0.17,tp,111.7
MSFT,bearish,2025-04-21,09:50,2025-05-02,11,375,380,5,C,0.2544,1.375,1.475,0.05,1,360.4547,79.4,0.3197,DOWN,DEFENSIVE_LED,2025-04-23,08:35,2.85,stop,-148.8
GOOGL,bearish,2025-04-21,11:05,2025-05-02,11,152.5,155.0,2.5,C,0.2503,0.74,0.84,0.05,2,146.23,47.1,0.3331,DOWN,DEFENSIVE_LED,2025-04-23,08:35,1.65,stop,-184.6
AMZN,bearish,2025-04-22,09:50,2025-05-02,10,180.0,182.5,2.5,C,0.2709,0.72,0.82,0.05,2,172.3452,74.3,0.3967,DOWN,DEFENSIVE_LED,2025-04-23,08:45,1.62,stop,-182.6
QQQ,bearish,2025-04-24,13:15,2025-05-02,8,480,485,5,C,0.2531,1.28,1.38,0.05,1,465.9955,43.2,0.282,DOWN,DEFENSIVE_LED,2025-04-30,08:30,0.8,time_exit_2dte,46.7
META,bullish,2025-04-25,11:20,2025-05-02,7,520,510,10,P,-0.269,2.73,2.88,0.075,1,542.6199,84.2,0.5425,CHOP,DEFENSIVE_LED,2025-04-30,08:30,3.4,time_exit_2dte,-68.3
AMZN,bullish,2025-05-01,13:30,2025-05-09,8,182.5,180.0,2.5,P,-0.2291,0.7,0.8,0.05,2,190.215,69.0,0.4022,CHOP,CYCLICAL_LED,2025-05-02,10:10,0.43,tp,51.4
AMZN,bullish,2025-05-06,11:20,2025-05-16,10,182.5,180.0,2.5,P,-0.2974,0.63,0.73,0.05,2,187.73,35.6,0.3544,UP,CYCLICAL_LED,2025-05-08,08:35,0.35,tp,53.4
AAPL,bullish,2025-05-07,14:40,2025-05-16,9,190.0,187.5,2.5,P,-0.2961,0.76,0.86,0.05,2,195.0093,56.5,0.3395,UP,CYCLICAL_LED,2025-05-08,10:45,0.43,tp,63.4
TSLA,bullish,2025-05-08,13:55,2025-05-16,8,275,270,5,P,-0.2815,1.28,1.38,0.05,1,288.405,0.0,0.6158,UP,CYCLICAL_LED,2025-05-09,09:05,0.71,tp,55.7
GOOGL,bullish,2025-05-14,11:15,2025-05-23,9,162.5,160.0,2.5,P,-0.2842,0.66,0.76,0.05,2,166.75,11.8,0.3143,UP,CYCLICAL_LED,2025-05-21,08:30,0.55,time_exit_2dte,19.4
QQQ,bullish,2025-05-16,12:05,2025-05-23,7,520,510,10,P,-0.1417,2.95,3.05,0.05,1,535.830545,0.0,0.2105,UP,CYCLICAL_LED,2025-05-21,08:30,3.83,time_exit_2dte,-89.3
SPY,bullish,2025-05-22,14:00,2025-05-30,8,590,580,10,P,-0.2599,3.99,4.09,0.05,1,600.0848100000001,15.8,0.1925,UP,CYCLICAL_LED,2025-05-28,08:30,2.3,time_exit_2dte,167.7
SPY,bullish,2025-05-30,11:00,2025-06-06,7,600,590,10,P,-0.217,6.525,6.625,0.05,1,610.93714,6.7,0.1775,UP,CYCLICAL_LED,2025-06-04,08:30,3.605,time_exit_2dte,290.7
TSLA,bullish,2025-06-17,12:40,2025-06-27,10,305,300,5,P,-0.2982,1.34,1.44,0.05,1,319.785,3.3,0.6127,UP,CYCLICAL_LED,2025-06-23,08:30,0.6,tp,72.7
QQQ,bullish,2025-06-20,10:35,2025-06-27,7,530,520,10,P,-0.1565,3.475,3.575,0.05,1,543.6112875,8.3,0.1901,UP,CYCLICAL_LED,2025-06-24,08:30,1.175,tp,228.7
TSLA,bullish,2025-07-07,13:05,2025-07-18,11,280,275,5,P,-0.2956,1.35,1.45,0.05,1,293.5545,1.7,0.5748,UP,CYCLICAL_LED,2025-07-08,13:15,0.77,tp,56.7
QQQ,bullish,2025-07-02,15:05,2025-07-11,9,550,540,10,P,-0.1323,2.76,2.86,0.05,1,567.1861225,6.7,0.1844,UP,CYCLICAL_LED,2025-07-09,08:30,0.82,time_exit_2dte,192.7
QQQ,bullish,2025-07-09,14:15,2025-07-18,9,560,550,10,P,-0.2306,4.03,4.13,0.05,1,571.253935,10.0,0.1852,UP,CYCLICAL_LED,2025-07-16,08:30,4.03,time_exit_2dte,-1.3
GOOGL,bullish,2025-07-15,09:30,2025-07-25,10,177.5,175.0,2.5,P,-0.2764,0.77,0.87,0.05,2,183.115,81.7,0.3463,UP,CYCLICAL_LED,2025-07-21,11:50,0.48,tp,55.4
SPY,bullish,2025-07-18,09:55,2025-07-25,7,630,620,10,P,-0.1356,3.245,3.345,0.05,1,644.57141,21.7,0.1573,UP,CYCLICAL_LED,2025-07-23,08:30,1.805,time_exit_2dte,142.7
GOOGL,bullish,2025-07-21,13:15,2025-08-01,11,182.5,180.0,2.5,P,-0.2211,0.7,0.8,0.05,2,189.5846,8.3,0.3063,UP,CYCLICAL_LED,2025-07-24,08:30,0.23,tp,91.4
MSFT,bullish,2025-07-21,09:30,2025-08-01,11,500,490,10,P,-0.2663,2.55,2.65,0.05,1,510.9331,15.0,0.2188,UP,CYCLICAL_LED,2025-07-30,08:30,2.895,time_exit_2dte,-35.8
META,bullish,2025-07-23,14:25,2025-08-01,9,690,680,10,P,-0.2864,3.17,3.32,0.075,1,713.26,91.7,0.4105,UP,CYCLICAL_LED,2025-07-30,08:30,4.44,time_exit_2dte,-128.3
AAPL,bullish,2025-07-24,10:15,2025-08-01,8,210,205,5,P,-0.275,1.29,1.39,0.05,1,214.795,11.7,0.2756,UP,CYCLICAL_LED,2025-07-30,08:30,1.79,time_exit_2dte,-51.3
SPY,bullish,2025-08-06,12:10,2025-08-15,9,640,630,10,P,-0.1926,4.84,4.94,0.05,1,652.9064999999999,36.7,0.1568,CHOP,DEFENSIVE_LED,2025-08-12,08:35,2.42,tp,240.7
QQQ,bullish,2025-08-08,10:00,2025-08-15,7,580,570,10,P,-0.2641,4.915,5.015,0.05,1,588.5858475,23.3,0.1817,UP,DEFENSIVE_LED,2025-08-13,08:30,1.275,time_exit_2dte,362.7
QQQ,bullish,2025-08-15,10:55,2025-08-22,7,580,570,10,P,-0.1332,3.49,3.59,0.05,1,595.3814475,15.0,0.1776,UP,DEFENSIVE_LED,2025-08-20,08:30,8.15,time_exit_2dte,-467.3
NVDA,bullish,2025-08-19,13:35,2025-08-29,10,170.0,167.5,2.5,P,-0.2774,0.71,0.81,0.05,2,176.495,61.7,0.4211,UP,DEFENSIVE_LED,2025-08-20,09:05,1.67,stop,-194.6
SPY,bullish,2025-08-22,10:10,2025-08-29,7,650,640,10,P,-0.2916,3.805,3.905,0.05,1,656.92813,38.3,0.1539,CHOP,DEFENSIVE_LED,2025-08-27,08:30,4.58,time_exit_2dte,-78.8
