strategy,symbol,structure,entry_date,entry_time_et,expiration,dte,legs,deltas,spot,sigma,credit,debit,qty,slip_leg,n_aligned_bars,exit_date,exit_time_et,exit_cost,exit_reason,pnl
spy_putspread_weekly_managed,SPY,bull_put,2025-03-10,10:00,2025-03-14,4,SP564 / LP554,put_short=-0.393,567.36,0.2368,3.21,,2,0.1,352,2025-03-13,09:30,5.52,time_exit_1dte,-464.6
spy_putspread_weekly_managed,SPY,bull_put,2025-03-17,10:00,2025-03-21,4,SP563 / LP553,put_short=-0.410,565.65,0.2301,2.94,,2,0.1,383,2025-03-19,15:05,1.45,tp,295.4
spy_putspread_weekly_managed,SPY,bull_put,2025-03-24,10:00,2025-03-28,4,SP570 / LP560,put_short=-0.401,572.74,0.211,2.07,,2,0.1,203,2025-03-26,09:35,1.165,tp,178.4
spy_putspread_weekly_managed,SPY,bull_put,2025-03-31,10:00,2025-04-04,4,SP547 / LP537,put_short=-0.401,549.74,0.2203,2.84,,2,0.1,338,2025-03-31,15:40,1.55,tp,255.4
spy_putspread_weekly_managed,SPY,bull_put,2025-04-07,10:00,2025-04-11,4,SP491 / LP481,put_short=-0.394,495.69,0.3826,3.64,,3,0.1,308,2025-04-08,09:30,1.37,tp,677.1
spy_putspread_weekly_managed,SPY,bull_put,2025-04-14,10:00,2025-04-17,3,SP536 / LP526,put_short=-0.393,540.47,0.3741,2.04,,2,0.1,303,2025-04-16,09:30,4.01,time_exit_1dte,-396.6
spy_putspread_weekly_managed,SPY,bull_put,2025-04-21,10:00,2025-04-25,4,SP514 / LP504,put_short=-0.393,517.56,0.2759,2.99,,2,0.1,265,2025-04-22,11:05,1.64,tp,267.4
spy_putspread_weekly_managed,SPY,bull_put,2025-04-28,10:00,2025-05-02,4,SP547 / LP537,put_short=-0.397,550.29,0.2504,2.18,,2,0.1,337,2025-05-01,09:30,0.96,time_exit_1dte,241.4
spy_putspread_weekly_managed,SPY,bull_put,2025-05-05,10:00,2025-05-09,4,SP560 / LP550,put_short=-0.398,562.99,0.2245,2.135,,2,0.1,155,2025-05-08,09:30,1.515,time_exit_1dte,121.4
spy_putspread_weekly_managed,SPY,bull_put,2025-05-12,10:00,2025-05-16,4,SP576 / LP566,put_short=-0.399,578.79,0.2085,1.97,,2,0.1,269,2025-05-13,09:30,1.16,tp,159.4
spy_putspread_weekly_managed,SPY,bull_put,2025-05-19,10:00,2025-05-23,4,SP589 / LP579,put_short=-0.400,591.24,0.1678,2.01,,2,0.1,368,2025-05-22,09:30,5.87,time_exit_1dte,-774.6
spy_putspread_weekly_managed,SPY,bull_put,2025-06-02,10:00,2025-06-06,4,SP584 / LP574,put_short=-0.385,586.85,0.1816,2.39,,2,0.1,254,2025-06-02,15:55,1.34,tp,207.4
spy_putspread_weekly_managed,SPY,bull_put,2025-06-09,10:00,2025-06-13,4,SP597 / LP587,put_short=-0.401,598.89,0.1431,2.11,,2,0.1,344,2025-06-10,15:55,1.23,tp,173.4
spy_putspread_weekly_managed,SPY,bull_put,2025-06-16,10:00,2025-06-20,4,SP600 / LP590,put_short=-0.384,603.05,0.1855,1.94,,2,0.1,124,2025-06-20,09:30,2.925,time_exit_1dte,-199.6
spy_putspread_weekly_managed,SPY,bull_put,2025-06-23,10:00,2025-06-27,4,SP594 / LP584,put_short=-0.392,596.65,0.1777,1.72,,2,0.1,235,2025-06-24,09:30,0.71,tp,199.4
spy_putspread_weekly_managed,SPY,bull_put,2025-06-30,10:00,2025-07-03,3,SP615 / LP605,put_short=-0.419,616.43,0.1511,1.775,,2,0.1,124,2025-07-02,09:30,1.485,time_exit_1dte,55.4
spy_putspread_weekly_managed,SPY,bull_put,2025-07-07,10:00,2025-07-11,4,SP621 / LP611,put_short=-0.382,623.65,0.1562,1.89,,2,0.1,345,2025-07-09,15:25,1.12,tp,151.4
spy_putspread_weekly_managed,SPY,bull_put,2025-07-14,10:00,2025-07-18,4,SP621 / LP611,put_short=-0.413,622.67,0.1425,1.88,,2,0.1,323,2025-07-15,09:30,1.05,tp,163.4
spy_putspread_weekly_managed,SPY,bull_put,2025-07-21,10:00,2025-07-25,4,SP628 / LP618,put_short=-0.387,630.57,0.156,1.3,,2,0.1,339,2025-07-23,14:00,0.84,tp,89.4
spy_putspread_weekly_managed,SPY,bull_put,2025-07-28,10:00,2025-08-01,4,SP635 / LP625,put_short=-0.384,637.45,0.1445,1.85,,2,0.1,155,2025-07-31,09:30,1.105,time_exit_1dte,146.4
spy_putspread_weekly_managed,SPY,bull_put,2025-08-04,10:00,2025-08-08,4,SP627 / LP617,put_short=-0.416,629.01,0.1728,1.89,,2,0.1,254,2025-08-06,11:20,1.14,tp,147.4
