symbol,direction,entry_date,entry_time_et,expiration,dte,short,long,width,opt,short_delta,credit,raw_mid,slip_leg,qty,spot,ivr,iv_used,regime,leadership,exit_date,exit_time_et,exit_cost,exit_reason,pnl
META,bearish,2025-03-31,11:25,2025-04-11,11,590,600,10,C,0.3454,2.55,2.7,0.075,1,569.7354,90.0,0.4435,DOWN,DEFENSIVE_LED,2025-04-02,10:25,5.25,stop,-271.3
AMZN,bearish,2025-03-31,13:40,2025-04-11,11,195.0,197.5,2.5,C,0.3456,0.67,0.77,0.05,2,189.7151,65.0,0.3518,DOWN,DEFENSIVE_LED,2025-04-02,11:45,1.52,stop,-172.6
IWM,bearish,2025-04-04,12:45,2025-04-11,7,185.0,187.5,2.5,C,0.3291,1.32,1.42,0.05,4,179.7457,100.0,0.4276,DOWN,DEFENSIVE_LED,2025-04-07,08:40,0.57,tp,294.8
GOOGL,bearish,2025-04-04,13:15,2025-04-11,7,152.5,155.0,2.5,C,0.3177,0.74,0.84,0.05,2,148.015,100.0,0.4161,DOWN,DEFENSIVE_LED,2025-04-09,08:30,0.53,time_exit_2dte,39.4
MSFT,bearish,2025-04-14,10:10,2025-04-25,11,400,405,5,C,0.3331,1.46,1.56,0.05,1,390.67,56.7,0.2811,DOWN,DEFENSIVE_LED,2025-04-16,08:30,0.585,tp,86.2
AMZN,bearish,2025-04-14,11:45,2025-04-25,11,187.5,190.0,2.5,C,0.3131,0.76,0.86,0.05,2,180.6893,76.7,0.3938,DOWN,DEFENSIVE_LED,2025-04-16,11:40,0.39,tp,71.4
IWM,bearish,2025-04-14,10:25,2025-04-25,11,192.5,195.0,2.5,C,0.3121,0.64,0.74,0.05,2,185.6647,80.0,0.3832,DOWN,DEFENSIVE_LED,2025-04-21,08:30,0.31,tp,63.4
GOOGL,bearish,2025-04-16,09:50,2025-04-25,9,160.0,162.5,2.5,C,0.2819,0.74,0.84,0.05,2,154.66,75.0,0.346,DOWN,DEFENSIVE_LED,2025-04-21,08:45,0.39,tp,67.4
AAPL,bearish,2025-04-16,12:00,2025-04-25,9,202.5,205.0,2.5,C,0.332,0.78,0.88,0.05,2,196.885,75.0,0.3711,DOWN,DEFENSIVE_LED,2025-04-21,09:00,0.41,tp,71.4
META,bearish,2025-04-21,10:35,2025-05-02,11,505,510,5,C,0.3344,1.68,1.83,0.075,1,484.245,73.5,0.4968,DOWN,DEFENSIVE_LED,2025-04-22,12:10,3.61,stop,-194.3
