strategy,symbol,structure,entry_date,entry_time_et,expiration,dte,legs,deltas,spot,sigma,credit,debit,qty,slip_leg,n_aligned_bars,exit_date,exit_time_et,exit_cost,exit_reason,pnl
spy_putspread_daily,SPY,bull_put,2025-03-06,10:00,2025-03-14,8,SP569 / LP559,put_short=-0.394,574.42,0.2846,2.45,,1,0.1,353,2025-03-11,10:05,7.61,stop,-517.3
spy_putspread_daily,SPY,bull_put,2025-03-04,10:05,2025-03-14,10,SP572 / LP562,put_short=-0.409,575.7,0.2195,3.37,,1,0.1,438,2025-03-13,09:30,8.4,time_exit_1dte,-504.3
spy_putspread_daily,SPY,bull_put,2025-03-07,10:00,2025-03-14,7,SP570 / LP560,put_short=-0.408,573.95,0.2608,2.71,,1,0.1,282,2025-03-13,09:30,7.92,time_exit_1dte,-522.3
spy_putspread_daily,SPY,bull_put,2025-03-10,10:00,2025-03-14,4,SP564 / LP554,put_short=-0.393,567.36,0.2368,3.21,,1,0.1,352,2025-03-13,09:30,5.52,time_exit_1dte,-232.3
spy_putspread_daily,SPY,bull_put,2025-03-13,10:00,2025-03-21,8,SP550 / LP540,put_short=-0.396,555.03,0.2819,2.82,,1,0.1,217,2025-03-17,09:30,1.48,tp,132.7
spy_putspread_daily,SPY,bull_put,2025-03-11,10:00,2025-03-21,10,SP554 / LP544,put_short=-0.397,559.79,0.2958,3.2,,1,0.1,517,2025-03-17,09:40,1.73,tp,145.7
spy_putspread_daily,SPY,bull_put,2025-03-12,10:00,2025-03-21,9,SP554 / LP544,put_short=-0.397,559.48,0.2936,3.01,,1,0.1,476,2025-03-17,10:10,1.55,tp,144.7
spy_putspread_daily,SPY,bull_put,2025-03-14,10:00,2025-03-21,7,SP554 / LP544,put_short=-0.396,558.44,0.2586,2.71,,1,0.1,381,2025-03-17,10:10,1.55,tp,114.7
spy_putspread_daily,SPY,bull_put,2025-03-17,10:00,2025-03-21,4,SP563 / LP553,put_short=-0.410,565.65,0.2301,2.94,,1,0.1,383,2025-03-19,15:05,1.45,tp,147.7
spy_putspread_daily,SPY,bull_put,2025-03-18,10:15,2025-03-28,10,SP556 / LP546,put_short=-0.393,560.77,0.2343,2.83,,1,0.1,303,2025-03-20,10:25,1.52,tp,129.7
spy_putspread_daily,SPY,bull_put,2025-03-19,10:05,2025-03-28,9,SP559 / LP549,put_short=-0.394,563.92,0.253,2.3,,1,0.1,370,2025-03-24,09:30,1.07,tp,121.7
