Date,Balance,Unrealized,Total Equity,Open Positions
2025-03-03,24941.50,-450.00,24491.50,5
2025-03-04,25480.50,-740.00,24740.50,5
2025-03-05,27690.00,-130.00,27560.00,5
2025-03-06,30091.90,-0.00,30091.90,5
2025-03-07,31383.80,731.00,32114.80,5
