ticker,open_date,strategy,pnl,win,is_credit,is_bull,width,credit,dte,hold_days,hour,credit_to_width,spot,otm_cushion,cushion_atr,name_vs_sma20,name_vs_sma50,rsi,ret5,rv10,spy_vs_sma20,spy_uptrend,vix,vix_pct,held_through_earnings,days_to_earnings,weekday,max_profit,max_loss,rr,concurrent_open
AMZN,2026-02-27,bull_put_spread,-39.46,0,True,True,2.5,,7,4,,,210.0,0.023809523809523808,0.8552229050718831,-0.01600860683598959,-0.07322002980584119,49.577380890006985,-0.0005235381944316275,0.23816652366083746,-0.0024589983987214348,0,19.860000610351562,0.8058252427184466,0,61.0,Friday,,,,0
ORCL,2026-02-27,bear_call_spread,-60.46,0,True,False,3.5,,7,3,,,145.39999389648438,0.024759327748518356,0.43519632597970626,-0.04384569310559505,-0.16533011842908063,52.079963744992675,-0.01809837858881136,0.5138750523534223,-0.0024589983987214348,0,19.860000610351562,0.8058252427184466,0,11.0,Friday,,,,0
QQQ,2026-02-27,bear_call_spread,157.54,1,True,False,6.0,,7,4,,,607.2899780273438,0.006109144077607688,0.3788218723902828,-0.0028308336871003537,-0.013854042629137142,48.25801254760766,-0.0024967059301678196,0.14686215309777553,-0.0024589983987214348,0,19.860000610351562,0.8058252427184466,0,,Friday,,,,0
IWM,2026-03-02,bull_call_spread,-50.46,0,False,True,3.0,,8,0,,,263.80999755859375,,,0.0025709410241780972,0.015266904639330114,44.708699155689374,0.01274523954349105,0.15061297432039328,-0.001486021681116001,0,21.440000534057617,0.9230769230769231,0,,Monday,,,,3
IWM,2026-03-02,bear_call_spread,-50.46,0,True,False,3.0,,8,0,,,263.80999755859375,0.004510831478787848,0.2226981461809958,0.0025709410241780972,0.015266904639330114,44.708699155689374,0.01274523954349105,0.15061297432039328,-0.001486021681116001,0,21.440000534057617,0.9230769230769231,0,,Monday,,,,3
NFLX,2026-03-02,bull_put_spread,29.54,1,True,True,3.0,,11,2,,,97.08999633789062,0.04212582647193335,1.1030616039212515,0.19326487569602757,0.12372420372807613,71.93820103116866,0.2771639124604719,0.7435358132378254,-0.001486021681116001,0,21.440000534057617,0.9230769230769231,0,45.0,Monday,,,,3
PLTR,2026-03-02,bull_put_spread,37.54,1,True,True,3.0,,11,2,,,145.1699981689453,0.0769442605898909,1.6556903563173155,0.05956154894079835,-0.09394240315127522,52.591735549916336,0.11156195547097658,0.41472061641735436,-0.001486021681116001,0,21.440000534057617,0.9230769230769231,0,63.0,Monday,,,,3
SLV,2026-03-03,bull_put_spread,28.54,1,True,True,3.0,,8,6,,,74.68000030517578,0.07605785058870872,1.0921579948340991,-0.005559443413995946,-0.022500291683359652,51.28986120631286,-0.05563987637834156,0.801996507164945,-0.00920047552039771,0,23.56999969482422,0.9619047619047619,0,,Tuesday,,,,4
ARKK,2026-03-04,bear_call_spread,40.54,1,True,False,3.0,,9,5,,,74.93000030517578,0.027625779879801145,0.769618819997747,0.0472689600563696,-0.02038201680590157,59.80675883369761,0.018901269681041777,0.36780584248658565,-0.001890213471910207,0,21.149999618530273,0.9056603773584906,0,,Wednesday,,,,3
IWM,2026-03-04,bear_call_spread,58.54,1,True,False,3.0,,8,1,,,261.760009765625,0.01237771284191205,0.5673532330712269,-0.004470630745764925,0.005438998968668507,45.332156808808215,-0.010658314875491848,0.18228498105332816,-0.001890213471910207,0,21.149999618530273,0.9056603773584906,0,,Wednesday,,,,3
TSLA,2026-03-04,bear_call_spread,76.54,1,True,False,5.0,,7,2,,,405.94000244140625,0.02231856309825361,0.6463182971735669,-0.010446684888763769,-0.058935999660369665,37.48740119751468,-0.027455657936401923,0.3500559034401553,-0.001890213471910207,0,21.149999618530273,0.9056603773584906,0,49.0,Wednesday,,,,3
XOM,2026-03-04,bear_call_spread,-166.38,0,True,False,2.5,,9,5,,,149.82000732421875,0.017888082664297287,0.6146771331679132,-0.0013896794124105272,0.09584037117921707,41.463427917869396,0.00509868360440735,0.26582872906022126,-0.001890213471910207,0,21.149999618530273,0.9056603773584906,0,58.0,Wednesday,,,,3
IWM,2026-03-06,bear_call_spread,148.61,1,True,False,3.0,,7,3,,,250.88999938964844,0.02036749421173779,0.9097154499151103,-0.044230387711462926,-0.036556255760105016,33.3333473799008,-0.0402433117519817,0.22466663448354546,-0.019742047389105455,0,29.489999771118164,1.0,0,,Friday,,,,4
GLD,2026-03-09,bull_put_spread,98.54,1,True,True,5.0,1.64,7,1,18.0,0.32799999999999996,472.5299987792969,0.020168029128131655,0.7596220573134307,0.007700683904143357,0.05615763712653021,62.53219722037345,-0.035653063715720634,0.2914569415538668,-0.010264030728657114,0,25.5,0.981651376146789,0,,Monday,164.0,336.00000000000006,2.0487804878048785,4
GOOGL,2026-03-09,bear_call_spread,-90.93,0,True,False,2.5,0.72,7,3,17.0,0.288,306.3599853515625,0.003721160409148341,0.14316647951342712,-0.006160440576025272,-0.04149460511237635,54.2565666953804,-0.0005220007433258678,0.21929586751060853,-0.010264030728657114,0,25.5,0.981651376146789,0,51.0,Monday,72.0,178.0,2.4722222222222223,4
IWM,2026-03-09,bear_call_spread,101.07,1,True,False,3.0,1.01,7,4,17.0,0.33666666666666667,253.6199951171875,-0.0024445829553029737,-0.10382694487068266,-0.0317278951282719,-0.026187964979597744,37.87954583292758,-0.03862629367995418,0.22972760460136402,-0.010264030728657114,0,25.5,0.981651376146789,0,,Monday,101.0,199.0,1.9702970297029703,4
AVGO,2026-03-10,bear_call_spread,111.08,1,True,False,2.5,0.88,6,1,14.0,0.352,342.5799865722656,0.043551911998767824,1.0343670930169122,0.03758822608482415,0.025395700741681182,56.13416843581749,0.09157529495836658,0.41547973215253375,-0.010644082431397583,0,24.93000030517578,0.9636363636363636,0,85.0,Tuesday,88.0,162.0,1.8409090909090908,3
NVDA,2026-03-10,bull_put_spread,31.08,1,True,True,2.5,0.56,6,6,18.0,0.22400000000000003,184.77000427246094,0.025815901727355664,0.7770547082985183,-0.005329433547396456,-0.0055328685434258285,46.76346675987899,0.026214946629833147,0.46987444599620104,-0.010644082431397583,0,24.93000030517578,0.9636363636363636,0,71.0,Tuesday,56.00000000000001,194.0,3.464285714285714,3
AAPL,2026-03-11,bull_put_spread,-174.94,0,True,True,2.5,0.57,5,1,18.0,0.22799999999999998,260.80999755859375,0.01269122192238863,0.552521384501858,-0.013268167619677307,-0.010309392292551456,50.32962265487717,-0.006513757148561616,0.17872951513519558,-0.010744832166443952,0,24.229999542236328,0.9459459459459459,0,50.0,Wednesday,56.99999999999999,193.00000000000003,3.3859649122807025,4
AAPL,2026-03-12,bear_call_spread,50.54,1,True,False,2.5,0.68,6,4,16.0,0.272,255.75999450683594,0.016578063748162678,0.7074255072533345,-0.02874721850362605,-0.028144902544888217,37.729576749610565,-0.01740371850387079,0.19275933522217767,-0.023917726611826784,0,27.290000915527344,0.9910714285714286,0,49.0,Thursday,68.0,181.99999999999997,2.6764705882352935,4
SMH,2026-03-12,bear_call_spread,44.54,1,True,False,5.0,1.69,8,6,15.0,0.33799999999999997,388.1300048828125,0.03702366458765848,1.1016914765717776,-0.04035345704261417,-0.025142877984728695,37.830265239384225,-0.01826230203424528,0.3993018097174718,-0.023917726611826784,0,27.290000915527344,0.9910714285714286,0,,Thursday,169.0,331.0,1.9585798816568047,4
WFC,2026-03-12,bull_put_spread,38.54,1,True,True,3.0,0.55,8,5,15.0,0.18333333333333335,75.25,0.029900332225913623,0.6967485210770255,-0.0991044947046712,-0.14872868994271438,20.620383702637113,-0.08354646887539696,0.3325642120158344,-0.023917726611826784,0,27.290000915527344,0.9910714285714286,0,33.0,Thursday,55.00000000000001,245.00000000000003,4.454545454545454,4
ARKK,2026-03-13,bear_call_spread,-76.93,0,True,False,3.0,0.51,7,4,14.0,0.17,70.25,0.046263345195729534,1.2498278383411452,-0.029521879157166087,-0.06900619234405136,50.59326078344895,-0.02969615304649409,0.37656304782460687,-0.028090872924183885,0,27.190000534057617,0.9823008849557522,0,,Friday,51.0,249.00000000000003,4.882352941176471,5
IWM,2026-03-16,bear_call_spread,109.08,1,True,False,3.0,1.1,7,2,13.0,0.3666666666666667,248.9199981689453,0.020408170771425215,0.8439542189273074,-0.03654748512608008,-0.044302561622967196,31.84683550386852,-0.018531649864871658,0.21446570517518196,-0.017282665972480404,0,23.510000228881836,0.8947368421052632,0,,Monday,110.00000000000001,190.0,1.727272727272727,5
ORCL,2026-03-16,bull_put_spread,5.54,1,True,True,3.0,0.65,4,2,17.0,0.21666666666666667,155.97000122070312,0.03827659917919318,0.7318096373083299,0.026621620920605604,-0.05893865028308254,60.47304514071215,0.029097411804882345,0.546037148142815,-0.017282665972480404,0,23.510000228881836,0.8947368421052632,0,86.0,Monday,65.0,235.0,3.6153846153846154,5
META,2026-03-17,bull_put_spread,-279.46,0,True,True,7.5,2.26,6,2,16.0,0.3013333333333333,622.6599731445312,0.00025691894682640403,0.00836648744559469,-0.03607112969414572,-0.04654048842222891,37.513066681338024,-0.048022434644549805,0.31824413914082766,-0.013824048836667546,0,22.3700008392334,0.8695652173913043,0,43.0,Tuesday,225.99999999999997,524.0,2.3185840707964607,5
NVDA,2026-03-17,bull_put_spread,-82.46,0,True,True,2.5,0.6,6,2,13.0,0.24,181.92999267578125,0.010608435956025699,0.3028797743593778,-0.01565285112599768,-0.01795675490202364,37.17778525486071,-0.015370522979973655,0.2850223734028838,-0.013824048836667546,0,22.3700008392334,0.8695652173913043,0,64.0,Tuesday,60.0,190.0,3.1666666666666665,5
AAPL,2026-03-18,bear_call_spread,53.07,1,True,False,2.5,0.54,5,1,16.0,0.21600000000000003,249.94000244140625,0.02024484880038349,0.8892793083395076,-0.043835355436094514,-0.04473544364697557,20.53777339790605,-0.04167783144411652,0.19458973155011294,-0.02580456193271785,0,25.09000015258789,0.9482758620689655,0,43.0,Wednesday,54.0,196.0,3.6296296296296298,5
AVGO,2026-03-18,bear_call_spread,-22.39,0,True,False,2.5,0.85,5,1,15.0,0.33999999999999997,315.92999267578125,0.028708915058681114,0.6982678748385809,-0.03674887427333351,-0.04714770628271436,46.37970927689924,-0.07506518165718212,0.4431603760699832,-0.02580456193271785,0,25.09000015258789,0.9482758620689655,0,77.0,Wednesday,85.0,165.0,1.9411764705882353,5
IWM,2026-03-19,bear_call_spread,181.62,1,True,False,3.0,1.22,6,1,15.0,0.4066666666666667,247.6300048828125,0.0014941449335374164,0.06050615119372709,-0.03256679893889525,-0.04824020636487514,32.43244820497338,0.0008892171595598075,0.19848163095127203,-0.026435870723962585,0,24.059999465942383,0.9145299145299145,0,,Thursday,122.0,178.0,1.459016393442623,4
META,2026-03-19,bull_put_spread,1.54,1,True,True,5.0,1.36,6,4,16.0,0.272,606.7000122070312,0.011043369164701661,0.3653083719027497,-0.055983559736477395,-0.06821058623187481,33.80446625430025,-0.04932774582412047,0.2904935359890464,-0.026435870723962585,0,24.059999465942383,0.9145299145299145,0,41.0,Thursday,136.0,363.99999999999994,2.6764705882352935,4
NVDA,2026-03-19,bull_put_spread,-0.46,0,True,True,2.5,0.55,6,4,15.0,0.22000000000000003,178.55999755859375,0.019937262585510235,0.6462651578825739,-0.029443909377786515,-0.03443816856866133,51.79553922972439,-0.025008200536848713,0.27744530043926224,-0.026435870723962585,0,24.059999465942383,0.9145299145299145,0,62.0,Thursday,55.00000000000001,195.0,3.545454545454545,4
CRM,2026-03-20,bull_put_spread,-252.92,0,True,True,2.5,0.72,7,6,14.0,0.288,195.3800048828125,0.027536107832730312,0.7079618196150064,0.0036291781960864355,-0.05180837245150871,52.68627919976871,0.013224099090098917,0.30876240587551684,-0.04011258956676533,0,26.780000686645508,0.9745762711864406,0,68.0,Friday,72.0,178.0,2.4722222222222223,3
AAPL,2026-03-23,bull_put_spread,-81.46,0,True,True,2.5,0.73,7,7,14.0,0.292,251.49000549316406,0.005924710567492367,0.2890008176919103,-0.029945576827982046,-0.03635922376842704,32.08649980090438,-0.005260666848051598,0.2003815217771169,-0.02809115180109456,0,26.149999618530273,0.957983193277311,0,38.0,Monday,73.0,177.0,2.4246575342465753,3
C,2026-03-23,bear_call_spread,81.77,1,True,False,3.0,0.82,4,0,13.0,0.2733333333333333,111.63999938964844,0.021139382150250963,0.6928076385424903,0.01955734649588914,-0.015745952163129906,52.37836997434463,0.03996274780163622,0.2516084890981815,-0.02809115180109456,0,26.149999618530273,0.957983193277311,0,22.0,Monday,82.0,218.00000000000003,2.658536585365854,3
IWM,2026-03-23,bear_call_spread,299.62,1,True,False,3.0,1.15,7,7,13.0,0.3833333333333333,247.4499969482422,0.014346345102199972,0.584293854167545,-0.026532841109282224,-0.047168355170123855,36.255554832165885,-0.0059055167584624035,0.22317014287103185,-0.02809115180109456,0,26.149999618530273,0.957983193277311,0,,Monday,114.99999999999999,185.0,1.6086956521739133,3
XOM,2026-03-23,bull_put_spread,66.77,1,True,True,2.5,0.67,4,0,15.0,0.268,161.1300048828125,0.02252842284373137,0.9405901140074484,0.04984708104369151,0.105857038550357,71.21351238280073,0.02480448553869885,0.17899782213016371,-0.02809115180109456,0,26.149999618530273,0.957983193277311,0,39.0,Monday,67.0,183.0,2.7313432835820897,3
META,2026-03-27,bull_put_spread,148.77,1,True,True,5.0,1.49,6,0,14.0,0.298,525.719970703125,0.00612487803881303,0.17031736998087868,-0.15351791284744765,-0.18310752604313296,17.783192923118293,-0.11444261953781032,0.4644445213547796,-0.047901442252396564,0,31.049999237060547,1.0,0,33.0,Friday,149.0,351.0,2.3557046979865772,2
AAPL,2026-03-30,bull_put_spread,35.54,1,True,True,2.5,0.62,7,1,16.0,0.248,246.6300048828125,0.01674575194034032,0.8149410972005336,-0.03081482508752953,-0.051619300173637694,27.964005895145206,-0.019324826053509603,0.15342362294276646,-0.047192638091164585,0,30.610000610351562,0.9919354838709677,0,31.0,Monday,62.0,188.0,3.032258064516129,2
GLD,2026-03-30,bull_put_spread,52.54,1,True,True,4.0,1.03,7,3,13.0,0.2575,414.5799865722656,0.015871452519135687,0.5221919043337896,-0.06757802343561692,-0.08842088044335683,22.70060305791941,0.02608647115245244,0.43249627231763804,-0.047192638091164585,0,30.610000610351562,0.9919354838709677,0,,Monday,103.0,297.0,2.883495145631068,2
IWM,2026-03-30,bear_call_spread,-200.96,0,True,False,3.0,0.94,7,3,13.0,0.3133333333333333,239.61000061035156,0.03501523045063577,1.5205173883990164,-0.04070047185619052,-0.07156335482408405,34.04503199067405,-0.031683153908183215,0.24389166427302073,-0.047192638091164585,0,30.610000610351562,0.9919354838709677,0,,Monday,94.0,206.0,2.1914893617021276,2
NVDA,2026-03-30,bull_put_spread,79.62,1,True,True,2.5,0.53,7,2,16.0,0.21200000000000002,165.1699981689453,0.016165152258549316,0.5240428067528857,-0.07502765453925297,-0.09769105516014498,26.039108767201583,-0.059610574226181545,0.3069393508031918,-0.047192638091164585,0,30.610000610351562,0.9919354838709677,0,51.0,Monday,53.0,197.0,3.7169811320754715,2
NVDA,2026-03-31,bull_put_spread,85.62,1,True,True,2.5,0.58,6,1,18.0,0.23199999999999998,174.39999389648438,0.025229323683898776,0.7937110432462116,-0.021790977713348147,-0.04603539006768609,38.101078325336026,-0.004566227543908896,0.4526949736880601,-0.017274795947142096,0,25.25,0.896,0,50.0,Tuesday,57.99999999999999,192.0,3.3103448275862073,4
QQQ,2026-03-31,bear_call_spread,-219.48,0,True,False,6.0,2.18,6,2,14.0,0.36333333333333334,577.1799926757812,-0.005509533795582454,-0.2868918807301561,-0.024944034527797143,-0.04490746433961157,35.74965163509147,-0.01164421387786363,0.27558586199983615,-0.017274795947142096,0,25.25,0.896,0,,Tuesday,218.00000000000003,382.0,1.752293577981651,4
GLD,2026-04-01,bull_put_spread,-277.48,0,True,True,4.0,0.78,5,1,13.0,0.195,437.82000732421875,0.026997412467415365,0.880541492749048,-0.0072907821851170285,-0.037726506231538615,38.66261321456499,0.05171874975945667,0.4856203518526755,-0.007629386414658712,0,24.540000915527344,0.8650793650793651,0,,Wednesday,78.0,322.0,4.128205128205129,5
COIN,2026-04-02,bear_call_spread,-66.48,0,True,False,2.5,0.68,8,4,16.0,0.272,171.4600067138672,0.04980749417783688,0.751996291593607,-0.09143413838205205,-0.06719093895579697,36.43333222675195,-0.011073930758296102,0.7922980510849679,-0.004815583394724765,0,23.8700008392334,0.84251968503937,0,35.0,Thursday,68.0,181.99999999999997,2.6764705882352935,4
GLD,2026-04-02,bear_call_spread,15.52,1,True,False,4.0,1.21,6,4,16.0,0.3025,429.4100036621094,0.015346629751728158,0.4738571460143666,-0.022289409146323824,-0.05562157746886731,37.96062758696795,0.07181007378635806,0.44570235107349016,-0.004815583394724765,0,23.8700008392334,0.84251968503937,0,,Thursday,121.0,279.0,2.3057851239669422,4
IWM,2026-04-02,bear_call_spread,4.52,1,True,False,3.0,0.99,6,4,15.0,0.33,251.2899932861328,0.010784379745601022,0.4551354812421782,0.011917555367623844,-0.022725192766078317,54.895828598076946,0.015559290360249056,0.30050642903411434,-0.004815583394724765,0,23.8700008392334,0.84251968503937,0,,Thursday,99.0,200.99999999999997,2.03030303030303,4
ORCL,2026-04-02,bear_call_spread,35.52,1,True,False,2.5,0.64,8,5,15.0,0.256,146.3800048828125,0.02473012021065009,0.6381255704994688,-0.02657011846894608,-0.0505618538322854,40.06375132467917,0.024998301136123224,0.5060256638347952,-0.004815583394724765,0,23.8700008392334,0.84251968503937,0,69.0,Thursday,64.0,186.0,2.90625,4
SMH,2026-04-02,bull_put_spread,10.51,1,True,True,5.0,0.88,8,4,15.0,0.176,392.32000732421875,0.03140295446119658,0.9501986281552153,0.00812525677977205,-0.01693549223580937,52.38187078671817,0.03014392158575374,0.48279081737270724,-0.004815583394724765,0,23.8700008392334,0.84251968503937,0,,Thursday,88.0,412.0,4.681818181818182,4
COIN,2026-04-06,bear_call_spread,-169.5,0,True,False,2.5,,11,9,,,174.7899932861328,0.04411011505244374,0.6985509384520387,-0.06825133326255695,-0.0440453780604555,33.06824399351687,0.08470891118398027,0.8078537877325481,0.0009098612485352042,1,24.170000076293945,0.8515625,0,31.0,Monday,,,,5
IWM,2026-04-06,bear_call_spread,-314.97,0,True,False,3.0,1.13,7,4,13.0,0.37666666666666665,252.36000061035156,0.01046124339540102,0.45472431114864065,0.015925668436301388,-0.017231544070627325,53.679932514003546,0.0380912968915883,0.2704777819993693,0.0009098612485352042,1,24.170000076293945,0.8515625,0,,Monday,112.99999999999999,187.0,1.6548672566371683,5
PLTR,2026-04-06,bear_call_spread,83.06,1,True,False,2.5,0.83,4,1,13.0,0.33199999999999996,147.92999267578125,0.03089304096860772,0.6479719621156617,-0.01983135045980744,0.00942204079066089,45.85854476103629,0.03404162729132487,0.6453222904510378,0.0009098612485352042,1,24.170000076293945,0.8515625,0,28.0,Monday,83.0,167.0,2.0120481927710845,5
SMH,2026-04-06,bull_put_spread,54.51,1,True,True,5.0,,11,2,,,395.9800109863281,0.05298250013698923,1.6825347433032924,0.015518239649099153,-0.00742411284295974,51.01158780711644,0.05806282160675513,0.4625484754196046,0.0009098612485352042,1,24.170000076293945,0.8515625,0,,Monday,,,,5
AAPL,2026-04-07,bear_call_spread,-333.48,0,True,False,5.0,1.67,6,6,15.0,0.33399999999999996,253.5,-0.013806706114398421,-0.5795389227381658,0.0013370950080018318,-0.027552300826731768,48.95684926219996,0.027855471682984412,0.2247382166481535,0.0028012329820463755,1,25.780000686645508,0.9224806201550387,0,23.0,Tuesday,167.0,333.0,1.9940119760479043,5
GLD,2026-04-07,bear_call_spread,-230.48,0,True,False,4.0,1.05,6,3,14.0,0.2625,431.80999755859375,0.005071680724828705,0.1543964431286784,-0.0070377333556153054,-0.048236421179257416,39.820587096688065,0.04156016099278048,0.3849444863250226,0.0028012329820463755,1,25.780000686645508,0.9224806201550387,0,,Tuesday,105.0,295.0,2.8095238095238093,5
